1,2,3,4,5,6,7,8,9,10
x,u,u,x,x,u,x,x,x,u
r,u,u,x,x,u,r,x,x,u
u,u,u,u,u,u,u,u,w,u
x,u,r,r,x,u,u,r,r,u
x,u,r,r,x,u,u,r,r,u
x,u,r,r,x,u,u,r,r,u
r,u,u,r,r,u,r,u,r,u
r,u,u,r,r,u,r,x,r,u
r,u,r,u,w,u,x,u,r,u
r,u,r,u,x,u,x,u,r,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,x,u,u,u,u,x,u
x,u,u,x,u,u,u,u,x,u
x,u,u,x,u,u,u,u,x,u
x,u,u,x,u,u,u,u,x,u
r,u,u,r,u,u,r,r,r,u
r,u,u,r,u,u,r,r,r,u
u,u,u,u,u,u,u,r,r,u
w,u,u,u,u,u,u,r,r,u
u,u,u,u,u,u,u,r,r,u
u,u,u,u,u,u,u,r,r,u
r,u,u,r,u,u,u,r,r,u
r,u,u,r,u,u,u,r,x,u
r,u,u,r,u,u,u,r,x,u
r,u,u,r,u,u,u,r,x,u
x,r,r,x,x,u,r,r,x,u
x,u,r,x,x,u,r,r,x,u
x,u,u,r,u,u,u,r,r,u
x,u,u,r,r,u,u,r,r,u
r,u,u,r,w,x,x,x,r,u
u,u,u,u,u,u,u,r,x,u
r,u,u,r,u,u,u,x,r,u
u,u,u,u,r,u,u,r,r,u
u,u,u,u,r,u,u,u,r,u
u,u,u,x,x,u,u,r,x,u
r,u,r,r,u,u,x,u,r,u
r,u,r,r,u,u,x,u,r,u
r,u,u,r,u,u,u,r,r,u
r,u,u,r,u,u,u,r,r,u
u,u,u,r,u,u,u,r,r,u
r,u,u,r,u,u,u,r,r,u
r,u,u,r,u,u,u,r,r,u
r,u,u,r,u,u,u,r,r,u
r,u,u,w,u,u,u,r,r,u
r,u,u,r,u,u,u,r,r,u
r,u,u,r,u,u,u,r,r,u
r,u,u,x,r,u,u,r,r,u
w,u,r,x,r,u,u,x,r,u
w,u,r,r,r,u,u,r,x,x
u,u,u,r,u,x,u,u,x,u
u,u,u,r,u,u,u,u,w,u
u,u,u,x,w,w,u,u,r,u
u,u,u,u,u,u,u,u,r,u
u,u,u,r,u,u,u,r,x,u
u,u,u,r,u,u,u,r,x,u
u,u,u,r,r,u,u,r,x,u
u,u,u,r,u,u,u,r,x,x
u,u,u,x,r,u,u,r,r,u
u,u,u,x,r,x,u,r,r,u
u,u,u,u,r,u,u,r,r,u
u,u,u,r,u,u,u,x,u,u
u,u,u,r,u,u,u,x,u,u
u,u,u,r,r,u,u,x,u,u
u,u,u,r,u,u,u,x,u,u
w,u,u,r,u,u,u,x,u,u
x,u,u,r,u,u,u,x,u,u
x,u,u,r,u,u,u,x,u,u
x,u,u,r,u,x,u,x,u,u
u,u,u,u,x,x,x,x,r,u
x,u,u,u,x,x,x,x,r,u
x,u,u,u,x,x,x,x,r,u
r,u,u,u,x,x,x,x,r,u
r,u,u,u,x,x,x,x,r,u
r,u,u,u,x,x,x,x,r,u
r,u,r,x,x,u,r,r,r,u
r,u,r,x,x,u,x,r,r,u
r,u,r,x,x,u,u,r,r,u
r,u,u,r,x,x,x,x,x,x
r,u,u,r,r,u,r,r,r,u
x,x,u,r,x,u,u,x,u,u
u,x,u,r,x,u,u,x,u,u
x,x,u,r,x,u,u,x,u,u
