1,2,3,4,5,6,7,8,9,10
u,u,x,u,u,u,u,u,u,u
u,u,x,u,u,u,u,u,u,u
u,u,x,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,x,x,u,u,x,u,u
u,u,u,x,u,u,u,x,x,u
u,u,u,u,u,u,u,u,u,u
u,x,u,u,x,u,u,u,u,u
u,x,u,u,x,u,u,u,x,x
u,u,u,u,x,x,u,u,x,u
x,u,u,u,u,u,u,x,u,u
u,u,u,x,u,u,u,u,x,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,x,u,u,u,x,x,x,x,x
u,u,x,u,u,u,u,x,u,u
u,u,u,w,x,u,u,u,u,w
u,u,u,x,x,u,u,u,x,u
u,u,u,x,x,u,u,u,u,u
x,x,x,x,x,u,x,u,u,u
x,x,x,x,x,u,u,u,u,u
u,x,x,x,x,u,u,u,u,u
u,x,x,x,x,u,u,u,u,u
u,x,x,x,x,u,u,u,u,u
u,x,x,x,x,u,u,u,u,u
u,u,u,u,u,u,u,u,x,u
x,u,u,u,u,u,u,u,x,u
x,u,u,u,u,u,x,u,u,u
x,u,u,u,u,u,x,u,u,u
x,u,u,u,u,u,x,u,u,u
x,u,u,u,u,u,x,u,u,u
x,u,u,u,u,u,x,u,u,u
x,u,u,u,x,u,u,u,x,u
x,u,u,u,x,u,u,u,x,u
x,u,u,u,x,u,u,u,x,u
x,u,u,u,x,u,u,u,x,u
u,u,u,u,w,u,u,x,x,u
w,u,u,u,u,u,u,x,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
w,u,u,u,u,u,u,u,w,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,w,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,x,u,u,u,u,u,u,u
u,u,x,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
x,u,u,u,u,u,u,u,x,u
x,u,u,u,u,u,u,u,x,u
u,u,u,u,u,u,u,x,x,x
u,u,u,u,u,u,u,u,x,u
u,u,u,u,u,u,u,u,x,u
u,u,u,x,x,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
x,x,x,x,u,u,u,u,u,u
x,x,x,x,u,u,u,u,u,u
x,x,u,u,x,u,u,x,x,u
x,u,u,u,u,u,u,x,x,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,x,u,u,u
u,u,u,u,w,u,u,u,u,u
u,u,u,u,w,u,u,u,u,x
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,w,u,u,u
u,u,u,u,u,u,x,x,u,u
u,u,u,u,u,u,w,u,x,u
u,u,u,u,u,x,x,u,u,x
u,u,u,u,u,u,x,x,u,u
u,u,u,u,u,u,x,u,u,u
u,u,u,u,u,u,x,u,u,u
u,u,u,x,u,u,u,x,x,x
x,u,u,x,x,x,u,u,x,u
x,u,u,x,x,x,x,u,x,w
w,u,u,x,x,x,u,u,x,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,x,u,u,u,u,u
u,u,u,u,x,u,u,u,u,u
u,u,u,u,w,u,u,u,u,u
u,u,u,u,w,u,u,u,u,u
u,u,u,u,w,u,u,u,u,u
u,u,u,u,x,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,x,x,x,u,x,x,x,u,w
u,x,x,x,u,x,x,x,u,x
x,u,u,u,u,u,u,u,u,w
x,u,u,u,u,u,u,u,u,u
x,u,u,u,u,u,u,u,u,w
x,u,x,x,w,w,x,u,w,w
u,u,u,u,u,u,u,u,x,u
x,u,x,x,x,u,u,u,x,x
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
x,u,u,u,u,u,x,x,x,x
x,u,u,u,u,u,x,x,x,x
x,u,u,u,u,u,x,x,x,x
x,u,u,u,u,u,x,x,x,x
x,u,u,u,x,x,x,x,x,x
x,u,u,u,x,x,x,x,x,x
x,u,u,u,x,x,x,x,x,x
x,u,u,u,x,x,x,x,x,x
x,u,u,u,x,x,x,x,x,x
x,u,u,u,x,x,x,x,x,x
x,u,u,u,x,x,x,x,x,x
x,u,u,u,x,x,x,x,x,x
u,u,u,u,u,u,u,u,x,u
u,u,u,u,u,u,u,u,w,w
u,u,u,u,u,u,w,u,u,u
u,u,u,u,u,u,w,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,x,u,u,u,x,u,u
u,u,u,x,u,u,u,w,u,u
u,u,u,x,x,u,u,x,u,u
u,u,u,x,u,u,u,x,u,u
u,u,u,u,x,u,u,x,u,u
u,u,u,u,x,u,u,x,u,u
u,u,u,u,x,u,u,x,u,u
u,u,u,u,x,u,u,x,u,u
u,u,u,u,x,u,u,x,u,u
u,u,u,u,x,u,u,x,u,u
u,u,u,x,u,u,u,u,u,u
u,u,u,x,u,u,u,u,u,u
u,u,u,x,u,u,u,u,u,u
u,u,u,u,u,u,u,x,x,u
u,u,u,u,u,u,u,x,x,u
u,u,u,u,u,u,u,x,x,u
u,u,u,u,u,u,u,x,x,u
u,u,u,u,u,x,u,x,x,u
