Position ,FISH ID,BC1,rBC1,BC2,rBC2,BC3,rBC3,BC4,rBC4,BC5,rBC5,BC6,rBC6,Nuclear CFP,Movie ID,xBC1,xBC2,xBC3,xBC4,xBC5,xBC6,BC1,BC2,BC3,BC4,BC5,BC6,Summary,Manual,Match,Key,
12,1,0,0,1,0,0,0,0,0,0,0,0,1,5.67E+07,1,1,0,1,1,1,0,x,u,x,x,x,r,xuxxxr,,,001,x
12,2,0,0,1,0,0,0,0,0,0,0,0,1,5.25E+07,3,1,0,1,1,1,0,x,u,x,x,x,r,xuxxxr,,,010,r
12,3,0,0,1,0,0,0,0,0,0,0,0,1,4.46E+07,4,1,0,1,1,1,0,x,u,x,x,x,r,xuxxxr,,,100,u
12,4,0,0,1,0,0,0,0,0,0,0,0,1,3.03E+07,5,1,0,1,1,1,0,x,u,x,x,x,r,xuxxxr,,,,
12,5,0,1,1,0,1,0,0,1,0,1,0,0,3.00E+07,9,0,0,0,0,0,1,r,u,u,r,r,x,ruurrx,,,,
12,6,0,1,1,0,1,0,0,1,0,1,0,0,3.24E+07,12,0,0,0,0,0,1,r,u,u,r,r,x,ruurrx,,,,
12,7,0,0,1,0,0,0,0,0,0,0,0,1,2.98E+07,6,1,0,1,1,1,0,x,u,x,x,x,r,xuxxxr,,,,
12,8,0,1,1,0,1,0,0,1,0,1,0,0,3.02E+07,10,0,0,0,0,0,1,r,u,u,r,r,x,ruurrx,,,,
12,9,0,0,1,0,0,0,0,0,0,0,0,1,5.74E+07,2,1,0,1,1,1,0,x,u,x,x,x,r,xuxxxr,,,,
12,10,0,1,1,0,1,0,0,1,0,1,0,0,3.12E+07,11,0,0,0,0,0,1,r,u,u,r,r,x,ruurrx,,,,
12,11,1,0,0,1,1,0,0,0,0,0,0,1,3.59E+07,17,0,0,0,1,1,0,u,r,u,x,x,r,uruxxr,,,,
12,12,0,0,1,0,0,0,0,0,0,0,0,1,4.00E+07,8,1,0,1,1,1,0,x,u,x,x,x,r,xuxxxr,,,,
12,13,1,0,0,1,1,0,0,0,0,0,0,1,3.01E+07,19,0,0,0,1,1,0,u,r,u,x,x,r,uruxxr,,,,
12,14,1,0,0,1,1,0,0,0,0,0,0,1,3.29E+07,20,0,0,0,1,1,0,u,r,u,x,x,r,uruxxr,,,,
12,15,1,0,0,1,1,0,0,0,0,0,0,1,3.71E+07,24,0,0,0,1,1,0,u,r,u,x,x,r,uruxxr,,,,
12,16,0,0,1,0,0,0,0,0,0,0,0,1,4.07E+07,7,1,0,1,1,1,0,x,u,x,x,x,r,xuxxxr,,,,
12,17,1,0,0,1,1,0,0,0,0,0,0,1,3.55E+07,18,0,0,0,1,1,0,u,r,u,x,x,r,uruxxr,,,,
12,18,0,1,1,0,1,0,0,1,0,1,0,0,3.52E+07,16,0,0,0,0,0,1,r,u,u,r,r,x,ruurrx,,,,
12,19,0,1,1,0,1,0,0,1,0,1,0,0,3.00E+07,14,0,0,0,0,0,1,r,u,u,r,r,x,ruurrx,,,,
12,20,0,1,1,0,1,0,0,1,0,1,0,0,3.28E+07,15,0,0,0,0,0,1,r,u,u,r,r,x,ruurrx,,,,
12,21,0,1,1,0,1,0,0,1,0,1,0,0,2.93E+07,13,0,0,0,0,0,1,r,u,u,r,r,x,ruurrx,,,,
12,22,1,0,0,1,1,0,0,0,0,0,0,1,2.96E+07,21,0,0,0,1,1,0,u,r,u,x,x,r,uruxxr,,,,
12,23,1,0,0,1,1,0,0,0,0,0,0,1,3.48E+07,22,0,0,0,1,1,0,u,r,u,x,x,r,uruxxr,,,,
12,24,0,0,0,0,1,0,0,0,0,0,0,0,7.51E+06,29,1,1,0,1,1,1,x,x,u,x,x,x,xxuxxx,,,,
12,25,0,0,0,0,0,0,0,0,0,0,0,0,1.04E+07,27,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
12,26,0,0,0,0,0,0,0,0,0,0,0,0,1.41E+07,26,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
12,27,1,0,0,1,1,0,0,0,0,0,0,1,3.17E+07,23,0,0,0,1,1,0,u,r,u,x,x,r,uruxxr,,,,
12,28,0,0,0,0,0,0,0,0,0,0,0,0,1.32E+07,25,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
12,29,0,0,0,0,0,0,0,0,0,0,0,0,8.72E+06,28,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
