Position ,FISH ID,BC1,rBC1,BC2,rBC2,BC3,rBC3,BC4,rBC4,BC5,rBC5,BC6,rBC6,Nuclear CFP,Movie ID,xBC1,xBC2,xBC3,xBC4,xBC5,xBC6,BC1,BC2,BC3,BC4,BC5,BC6,Summary,Manual,Match,Key,
5,1,1,0,0,1,0,1,0,0,0,0,0,0,4.13E+07,3,0,0,0,1,1,1,u,r,r,x,x,x,urrxxx,urrxxx,1,001,x
5,2,1,0,0,1,1,0,0,0,0,0,0,0,3.69E+07,4,0,0,0,1,1,1,u,r,u,x,x,x,uruxxx,uruxxx,1,010,r
5,3,0,1,0,1,1,0,0,1,0,1,0,1,2.12E+07,7,0,0,0,0,0,0,r,r,u,r,r,r,rrurrr,rrurrr,1,100,u
5,4,1,0,0,1,1,0,0,0,0,0,0,0,3.91E+07,2,0,0,0,1,1,1,u,r,u,x,x,x,uruxxx,uruxxx,1,,
5,5,1,0,0,1,1,0,0,0,0,0,0,0,5.63E+07,1,0,0,0,1,1,1,u,r,u,x,x,x,uruxxx,uruxxx,1,,
5,6,0,1,0,1,1,0,0,1,0,1,0,1,2.33E+07,6,0,0,0,0,0,0,r,r,u,r,r,r,rrurrr,rrurrr,1,,
