Position ,FISH ID,BC1,rBC1,BC2,rBC2,BC3,rBC3,BC4,rBC4,BC5,rBC5,BC6,rBC6,Nuclear CFP,Movie ID,xBC1,xBC2,xBC3,xBC4,xBC5,xBC6,BC1,BC2,BC3,BC4,BC5,BC6,Summary,Manual,Match,Key,
17,1,0,0,0,0,0,0,0,0,0,0,0,0,9.15E+07,16,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,001,x
17,2,0,0,0,0,0,0,0,0,0,0,0,0,4.37E+07,12,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,010,r
17,3,0,0,0,0,0,0,0,0,0,0,0,0,4.35E+07,,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,100,u
17,4,0,0,0,0,1,0,0,1,0,0,0,1,2.66E+07,5,1,1,0,0,1,0,x,x,u,r,x,r,xxurxr,,,,
17,5,0,0,0,0,0,0,0,0,0,0,0,0,4.12E+07,13,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
17,6,0,0,0,0,0,0,0,0,0,0,0,0,4.81E+07,11,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
17,7,0,0,0,0,0,0,0,0,0,0,0,0,9.97E+07,14,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
17,8,0,0,0,0,0,0,0,0,0,0,0,0,1.05E+08,17,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
17,9,0,0,0,0,1,0,0,1,1,0,0,1,5.50E+07,3,1,1,0,0,0,0,x,x,u,r,u,r,xxurur,,,,
17,10,0,0,0,0,0,0,0,0,0,0,0,0,8.72E+07,18,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
17,11,0,1,0,0,1,0,0,1,0,0,0,1,2.23E+07,21,0,1,0,0,1,0,r,x,u,r,x,r,rxurxr,,,,
17,12,0,1,0,0,1,0,0,1,0,0,0,1,2.78E+07,20,0,1,0,0,1,0,r,x,u,r,x,r,rxurxr,,,,
17,13,0,0,0,0,1,0,0,1,1,0,0,1,5.32E+07,4,1,1,0,0,0,0,x,x,u,r,u,r,xxurur,,,,
17,14,0,0,0,0,0,0,0,0,0,0,0,0,6.94E+07,19,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
17,15,0,0,0,0,1,0,0,1,1,0,0,1,5.31E+07,2,1,1,0,0,0,0,x,x,u,r,u,r,xxurur,,,,
17,16,0,0,0,0,0,0,0,0,0,0,0,0,9.90E+07,15,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
17,17,0,0,0,0,1,0,0,1,1,0,0,1,5.60E+07,1,1,1,0,0,0,0,x,x,u,r,u,r,xxurur,,,,
17,18,0,0,0,0,0,0,0,1,0,0,0,1,2.71E+07,6,1,1,1,0,1,0,x,x,x,r,x,r,xxxrxr,,,,
17,19,0,0,0,0,1,0,0,1,0,0,0,1,2.48E+07,7,1,1,0,0,1,0,x,x,u,r,x,r,xxurxr,,,,
17,20,0,0,0,0,1,0,0,1,1,0,0,1,2.24E+07,8,1,1,0,0,0,0,x,x,u,r,u,r,xxurur,,,,
17,21,0,0,0,0,0,0,0,0,0,0,0,0,3.86E+07,10,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
17,22,0,1,0,0,1,0,0,1,0,0,0,1,2.30E+07,22,0,1,0,0,1,0,r,x,u,r,x,r,rxurxr,,,,
17,23,0,1,0,0,1,0,0,1,0,0,0,1,2.23E+07,23,0,1,0,0,1,0,r,x,u,r,x,r,rxurxr,,,,
