Position ,FISH ID,BC1,rBC1,BC2,rBC2,BC3,rBC3,BC4,rBC4,BC5,rBC5,BC6,rBC6,Nuclear CFP,Movie ID,xBC1,xBC2,xBC3,xBC4,xBC5,xBC6,BC1,BC2,BC3,BC4,BC5,BC6,Summary,Manual,Match,Key,
26,1,0,1,1,0,0,0,0,1,0,0,0,0,3.34E+07,8,0,0,1,0,1,1,r,u,x,r,x,x,ruxrxx,,,001,x
26,2,0,1,0,1,1,0,0,1,0,0,0,0,2.34E+07,16,0,0,0,0,1,1,r,r,u,r,x,x,rrurxx,,,010,r
26,3,0,1,0,1,1,0,0,1,0,0,0,0,1.88E+07,17,0,0,0,0,1,1,r,r,u,r,x,x,rrurxx,,,100,u
26,4,0,1,1,0,1,0,0,1,0,0,0,0,2.79E+07,12,0,0,0,0,1,1,r,u,u,r,x,x,ruurxx,,,,
26,5,0,1,0,1,1,0,0,1,0,0,0,0,1.94E+07,21,0,0,0,0,1,1,r,r,u,r,x,x,rrurxx,,,,
26,6,0,0,0,0,0,0,0,0,0,0,0,0,9.30E+06,20,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
26,7,0,1,1,0,1,0,0,1,0,0,0,0,2.67E+07,13,0,0,0,0,1,1,r,u,u,r,x,x,ruurxx,,,,
26,8,1,0,1,0,0,0,0,0,0,0,0,0,2.44E+07,7,0,0,1,1,1,1,u,u,x,x,x,x,uuxxxx,,,,
26,9,0,1,0,1,1,0,0,1,0,0,0,0,1.75E+07,19,0,0,0,0,1,1,r,r,u,r,x,x,rrurxx,,,,
26,10,1,0,1,0,0,0,0,0,0,0,0,0,2.91E+07,6,0,0,1,1,1,1,u,u,x,x,x,x,uuxxxx,,,,
26,11,0,1,1,0,0,0,0,0,0,0,0,0,3.31E+07,9,0,0,1,1,1,1,r,u,x,x,x,x,ruxxxx,,,,
26,12,0,1,1,0,1,0,0,1,1,0,0,0,2.37E+07,14,0,0,0,0,0,1,r,u,u,r,u,x,ruurux,,,,
26,13,0,1,0,1,1,0,0,1,0,0,0,0,1.24E+07,23,0,0,0,0,1,1,r,r,u,r,x,x,rrurxx,,,,
26,14,0,1,1,0,1,0,0,1,0,1,0,0,2.20E+07,15,0,0,0,0,0,1,r,u,u,r,r,x,ruurrx,,,,
26,15,0,1,0,1,0,0,0,1,0,0,0,0,1.30E+07,22,0,0,1,0,1,1,r,r,x,r,x,x,rrxrxx,,,,
26,16,0,1,0,1,1,0,0,1,0,0,0,0,1.95E+07,18,0,0,0,0,1,1,r,r,u,r,x,x,rrurxx,,,,
26,17,1,0,1,0,1,0,0,1,0,0,1,0,3.35E+07,2,0,0,0,0,1,0,u,u,u,r,x,u,uuurxu,,,,
26,18,1,0,1,0,0,0,0,0,0,0,0,0,3.87E+07,1,0,0,1,1,1,1,u,u,x,x,x,x,uuxxxx,,,,
26,19,1,0,1,0,1,0,0,0,0,0,0,0,3.12E+07,4,0,0,0,1,1,1,u,u,u,x,x,x,uuuxxx,,,,
26,20,0,1,1,0,0,0,0,0,0,0,0,0,2.83E+07,10,0,0,1,1,1,1,r,u,x,x,x,x,ruxxxx,,,,
26,21,0,1,1,0,0,0,0,0,0,0,0,0,3.50E+07,11,0,0,1,1,1,1,r,u,x,x,x,x,ruxxxx,,,,
26,23,1,0,1,0,0,0,0,1,0,0,0,0,2.37E+07,3,0,0,1,0,1,1,u,u,x,r,x,x,uuxrxx,,,,
26,24,1,0,1,0,0,0,0,0,0,0,0,0,3.84E+07,,0,0,1,1,1,1,u,u,x,x,x,x,uuxxxx,,,,
26,25,1,0,0,1,1,0,1,0,0,0,0,0,2.42E+07,,0,0,0,0,1,1,u,r,u,u,x,x,uruuxx,,,,
26,26,1,0,0,1,1,0,1,0,1,0,0,0,2.65E+07,,0,0,0,0,0,1,u,r,u,u,u,x,uruuux,,,,
26,27,1,0,0,1,1,0,0,0,1,0,0,0,2.51E+07,,0,0,0,1,0,1,u,r,u,x,u,x,uruxux,,,,
26,28,0,0,0,0,1,0,0,1,0,1,1,0,2.62E+07,,1,1,0,0,0,0,x,x,u,r,r,u,xxurru,,,,
26,29,1,0,0,1,1,0,1,0,1,0,1,0,6.73E+06,,0,0,0,0,0,0,u,r,u,u,u,u,uruuuu,,,,
26,30,1,0,0,1,0,1,0,1,0,0,0,1,2.30E+07,,0,0,0,0,1,0,u,r,r,r,x,r,urrrxr,,,,
26,31,0,0,0,0,1,0,0,1,0,1,1,0,6.82E+06,,1,1,0,0,0,0,x,x,u,r,r,u,xxurru,,,,
26,32,1,0,0,1,0,1,0,1,0,1,0,1,1.46E+06,,0,0,0,0,0,0,u,r,r,r,r,r,urrrrr,,,,
26,33,0,0,0,1,1,0,1,0,0,1,0,1,2.08E+07,,1,0,0,0,0,0,x,r,u,u,r,r,xruurr,,,,
26,34,0,0,0,1,1,0,1,0,0,1,0,1,8.11E+06,,1,0,0,0,0,0,x,r,u,u,r,r,xruurr,,,,
