Position ,FISH ID,BC1,rBC1,BC2,rBC2,BC3,rBC3,BC4,rBC4,BC5,rBC5,BC6,rBC6,Nuclear CFP,Movie ID,xBC1,xBC2,xBC3,xBC4,xBC5,xBC6,BC1,BC2,BC3,BC4,BC5,BC6,Summary,Manual,Match,Key,
8,1,0,1,0,1,0,0,0,1,0,0,0,1,9.76E+06,33,0,0,1,0,1,0,r,r,x,r,x,r,rrxrxr,,,001,x
8,2,0,0,0,1,0,1,0,1,0,0,0,1,1.43E+07,45,1,0,0,0,1,0,x,r,r,r,x,r,xrrrxr,,,010,r
8,3,0,1,0,0,1,0,0,0,0,0,0,1,1.69E+07,,0,1,0,1,1,0,r,x,u,x,x,r,rxuxxr,,,100,u
8,4,0,0,0,0,0,0,0,0,0,0,0,0,1.34E+07,,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
8,5,0,0,0,0,0,0,0,0,0,0,0,0,6.83E+06,,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
8,6,0,0,0,0,1,0,0,1,0,1,0,1,1.48E+07,,1,1,0,0,0,0,x,x,u,r,r,r,xxurrr,,,,
8,7,0,0,0,0,0,0,0,0,0,0,0,0,4.69E+06,34,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
8,8,0,0,0,1,0,1,0,1,0,0,0,1,1.50E+07,47,1,0,0,0,1,0,x,r,r,r,x,r,xrrrxr,,,,
8,9,0,0,0,1,0,1,0,1,0,0,0,1,1.71E+07,46,1,0,0,0,1,0,x,r,r,r,x,r,xrrrxr,,,,
8,10,0,1,0,0,1,0,0,0,0,1,0,1,2.24E+07,,0,1,0,1,0,0,r,x,u,x,r,r,rxuxrr,,,,
8,11,0,1,0,0,0,1,0,1,0,0,0,1,2.69E+07,5,0,1,0,0,1,0,r,x,r,r,x,r,rxrrxr,,,,
8,12,0,1,1,0,1,0,0,1,0,1,0,1,3.21E+07,17,0,0,0,0,0,0,r,u,u,r,r,r,ruurrr,,,,
8,13,0,0,0,0,1,0,1,0,0,1,0,1,2.49E+07,,1,1,0,0,0,0,x,x,u,u,r,r,xxuurr,,,,
8,14,0,0,0,0,1,0,1,0,0,1,0,1,2.18E+07,,1,1,0,0,0,0,x,x,u,u,r,r,xxuurr,,,,
8,15,0,1,1,0,0,1,0,1,0,1,0,1,2.82E+07,18,0,0,0,0,0,0,r,u,r,r,r,r,rurrrr,,,,
8,16,0,1,0,0,1,0,0,0,0,1,0,1,3.18E+07,27,0,1,0,1,0,0,r,x,u,x,r,r,rxuxrr,,,,
8,17,0,0,0,0,0,0,0,0,0,0,0,0,9.22E+06,,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
8,18,0,0,0,0,0,0,0,0,0,0,0,0,7.10E+06,,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
8,19,0,0,0,0,1,0,1,0,1,0,0,0,2.05E+07,,1,1,0,0,0,1,x,x,u,u,u,x,xxuuux,,,,
8,20,0,0,1,0,1,0,0,0,1,0,1,0,1.93E+07,,1,0,0,1,0,0,x,u,u,x,u,u,xuuxuu,,,,
8,21,1,0,0,0,0,0,0,0,0,0,0,0,2.30E+07,,0,1,1,1,1,1,u,x,x,x,x,x,uxxxxx,,,,
8,22,1,0,1,0,1,0,0,0,1,0,0,0,2.57E+07,,0,0,0,1,0,1,u,u,u,x,u,x,uuuxux,,,,
8,23,0,0,0,0,1,0,1,0,0,1,1,0,3.79E+07,,1,1,0,0,0,0,x,x,u,u,r,u,xxuuru,,,,
8,24,0,0,0,0,1,0,1,0,0,1,0,1,2.22E+07,,1,1,0,0,0,0,x,x,u,u,r,r,xxuurr,,,,
8,25,0,0,0,0,0,0,0,0,0,0,0,0,1.50E+07,,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
8,26,0,0,0,0,1,0,0,1,0,1,1,0,1.46E+07,,1,1,0,0,0,0,x,x,u,r,r,u,xxurru,,,,
8,27,0,1,0,1,1,0,1,0,0,0,0,0,2.90E+07,,0,0,0,0,1,1,r,r,u,u,x,x,rruuxx,,,,
8,28,0,0,0,1,0,0,0,1,0,0,0,0,6.34E+06,42,1,0,1,0,1,1,x,r,x,r,x,x,xrxrxx,,,,
8,29,0,0,0,0,1,0,0,1,0,1,1,0,4.05E+06,,1,1,0,0,0,0,x,x,u,r,r,u,xxurru,,,,
8,30,0,1,0,1,0,0,0,1,0,0,0,1,1.22E+07,41,0,0,1,0,1,0,r,r,x,r,x,r,rrxrxr,,,,
8,31,0,0,0,0,0,0,0,0,0,0,0,0,1.40E+07,35,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
8,32,0,1,0,0,0,1,0,1,0,0,0,1,2.90E+07,16,0,1,0,0,1,0,r,x,r,r,x,r,rxrrxr,,,,
8,33,0,1,0,0,0,1,0,1,0,0,0,1,3.09E+07,15,0,1,0,0,1,0,r,x,r,r,x,r,rxrrxr,,,,
8,34,0,1,0,1,1,0,1,0,0,0,0,0,3.77E+07,43,0,0,0,0,1,1,r,r,u,u,x,x,rruuxx,,,,
8,35,0,0,0,0,0,0,0,0,0,0,0,0,1.31E+07,36,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
8,36,0,1,0,0,1,0,1,0,0,1,1,0,1.00E+07,,0,1,0,0,0,0,r,x,u,u,r,u,rxuuru,,,,
8,37,0,0,0,1,0,1,0,0,0,0,0,1,1.62E+07,,1,0,0,1,1,0,x,r,r,x,x,r,xrrxxr,,,,
8,38,0,0,0,0,1,0,1,0,0,0,0,1,9.21E+06,,1,1,0,0,1,0,x,x,u,u,x,r,xxuuxr,,,,
8,39,0,1,0,0,1,0,0,1,0,1,0,1,1.89E+07,32,0,1,0,0,0,0,r,x,u,r,r,r,rxurrr,,,,
8,40,0,1,0,0,1,0,0,1,0,0,0,1,2.19E+07,31,0,1,0,0,1,0,r,x,u,r,x,r,rxurxr,,,,
