Position ,FISH ID,BC1,rBC1,BC2,rBC2,BC3,rBC3,BC4,rBC4,BC5,rBC5,BC6,rBC6,Nuclear CFP,Movie ID,xBC1,xBC2,xBC3,xBC4,xBC5,xBC6,BC1,BC2,BC3,BC4,BC5,BC6,Summary,Manual,Match,Key,
18,1,0,1,0,0,0,1,0,0,0,0,0,0,2.69E+07,1,0,1,0,1,1,1,r,x,r,x,x,x,rxrxxx,,,001,x
18,2,0,0,0,1,1,0,0,1,1,0,0,1,1.29E+07,17,1,0,0,0,0,0,x,r,u,r,u,r,xrurur,,,010,r
18,4,0,1,0,0,0,1,0,0,0,1,0,0,3.30E+07,2,0,1,0,1,0,1,r,x,r,x,r,x,rxrxrx,,,,
18,5,0,1,0,0,0,1,0,0,0,1,0,0,2.79E+07,5,0,1,0,1,0,1,r,x,r,x,r,x,rxrxrx,,,,
18,6,0,1,0,1,1,0,0,1,1,0,0,1,2.27E+07,19,0,0,0,0,0,0,r,r,u,r,u,r,rrurur,,,,
18,7,0,1,0,1,1,0,0,1,1,0,0,1,2.53E+07,16,0,0,0,0,0,0,r,r,u,r,u,r,rrurur,,,,
18,8,0,0,0,1,1,0,0,1,1,0,0,1,2.15E+07,18,1,0,0,0,0,0,x,r,u,r,u,r,xrurur,,,,
18,9,0,1,0,0,0,1,0,0,0,1,0,0,2.95E+07,3,0,1,0,1,0,1,r,x,r,x,r,x,rxrxrx,,,,
18,10,0,1,0,0,0,1,0,0,0,1,0,0,4.90E+07,7,0,1,0,1,0,1,r,x,r,x,r,x,rxrxrx,,,,
18,11,0,1,0,0,0,1,0,0,0,1,0,0,3.06E+07,4,0,1,0,1,0,1,r,x,r,x,r,x,rxrxrx,,,,
18,12,1,0,1,0,0,1,0,0,0,1,0,0,1.87E+07,,0,0,0,1,0,1,u,u,r,x,r,x,uurxrx,,,,
18,13,1,0,1,0,0,0,0,0,0,0,0,0,1.61E+07,,0,0,1,1,1,1,u,u,x,x,x,x,uuxxxx,,,,
18,14,1,0,1,0,0,0,0,0,0,0,0,0,9.43E+06,,0,0,1,1,1,1,u,u,x,x,x,x,uuxxxx,,,,
18,15,0,1,0,0,0,0,0,1,0,0,0,1,1.86E+07,,0,1,1,0,1,0,r,x,x,r,x,r,rxxrxr,,,,
18,16,1,0,0,0,0,0,0,0,0,0,0,1,7.20E+06,,0,1,1,1,1,0,u,x,x,x,x,r,uxxxxr,,,,
18,17,0,1,0,0,1,0,0,1,0,1,0,1,1.83E+06,,0,1,0,0,0,0,r,x,u,r,r,r,rxurrr,,,,
18,18,1,0,0,0,1,0,1,0,0,0,0,0,1.07E+07,,0,1,0,0,1,1,u,x,u,u,x,x,uxuuxx,,,,
18,19,1,0,0,1,1,0,0,0,0,0,0,0,2.57E+07,,0,0,0,1,1,1,u,r,u,x,x,x,uruxxx,,,,
18,20,1,0,0,0,1,0,0,0,0,0,0,0,2.09E+07,,0,1,0,1,1,1,u,x,u,x,x,x,uxuxxx,,,,
18,21,1,0,0,0,1,0,0,0,0,0,0,0,2.93E+07,,0,1,0,1,1,1,u,x,u,x,x,x,uxuxxx,,,,
18,22,0,1,0,0,0,1,0,0,0,1,0,0,3.42E+07,12,0,1,0,1,0,1,r,x,r,x,r,x,rxrxrx,,,,
18,23,1,0,0,1,1,0,0,0,0,0,0,0,1.27E+07,,0,0,0,1,1,1,u,r,u,x,x,x,uruxxx,,,,
18,24,1,0,0,0,0,0,0,0,0,0,0,0,1.48E+07,,0,1,1,1,1,1,u,x,x,x,x,x,uxxxxx,,,,
18,25,0,0,0,1,1,0,0,1,1,0,0,1,1.21E+07,20,1,0,0,0,0,0,x,r,u,r,u,r,xrurur,,,,
18,26,0,1,0,1,1,0,1,0,0,1,0,1,2.00E+07,39,0,0,0,0,0,0,r,r,u,u,r,r,rruurr,,,,
18,27,0,0,0,1,1,0,0,1,1,0,0,1,1.20E+07,21,1,0,0,0,0,0,x,r,u,r,u,r,xrurur,,,,
18,28,0,0,0,1,1,0,0,1,1,0,0,1,1.24E+07,25,1,0,0,0,0,0,x,r,u,r,u,r,xrurur,,,,
18,29,0,0,0,1,1,0,0,1,1,0,0,1,8.77E+06,24,1,0,0,0,0,0,x,r,u,r,u,r,xrurur,,,,
18,30,0,1,0,1,1,0,1,0,0,1,0,1,1.50E+07,42,0,0,0,0,0,0,r,r,u,u,r,r,rruurr,,,,
18,31,0,0,0,0,0,0,0,0,0,0,1,0,1.92E+06,26,1,1,1,1,1,0,x,x,x,x,x,u,xxxxxu,,,,
18,32,0,1,0,0,0,1,0,0,0,1,0,0,2.57E+07,11,0,1,0,1,0,1,r,x,r,x,r,x,rxrxrx,,,,
18,34,0,1,0,0,0,1,0,0,0,1,0,0,2.74E+07,9,0,1,0,1,0,1,r,x,r,x,r,x,rxrxrx,,,,
18,35,0,1,0,0,0,1,0,0,0,0,0,0,4.82E+07,10,0,1,0,1,1,1,r,x,r,x,x,x,rxrxxx,,,,
18,36,0,1,0,0,0,1,0,0,0,1,0,0,2.91E+07,8,0,1,0,1,0,1,r,x,r,x,r,x,rxrxrx,,,,
18,38,0,1,0,0,0,1,0,0,0,0,0,0,2.96E+07,6,0,1,0,1,1,1,r,x,r,x,x,x,rxrxxx,,,,
18,39,0,1,0,1,0,0,0,0,0,0,0,0,1.60E+07,54,0,0,1,1,1,1,r,r,x,x,x,x,rrxxxx,,,,
18,40,0,1,0,1,1,0,1,0,0,0,0,1,2.67E+07,36,0,0,0,0,1,0,r,r,u,u,x,r,rruuxr,,,,
18,41,0,0,0,1,1,0,0,1,1,0,0,1,1.13E+07,22,1,0,0,0,0,0,x,r,u,r,u,r,xrurur,,,,
18,42,0,1,0,1,1,0,1,0,0,1,0,1,1.98E+07,38,0,0,0,0,0,0,r,r,u,u,r,r,rruurr,,,,
18,43,0,0,0,1,1,0,0,1,1,0,0,1,1.13E+07,27,1,0,0,0,0,0,x,r,u,r,u,r,xrurur,,,,
18,44,0,1,0,1,0,1,0,1,0,1,1,0,2.41E+07,51,0,0,0,0,0,0,r,r,r,r,r,u,rrrrru,,,,
18,45,0,1,0,1,0,1,0,1,0,1,1,0,2.60E+07,49,0,0,0,0,0,0,r,r,r,r,r,u,rrrrru,,,,
18,46,0,1,0,1,0,1,0,1,0,1,1,0,1.30E+07,47,0,0,0,0,0,0,r,r,r,r,r,u,rrrrru,,,,
18,47,0,1,0,1,1,0,1,0,0,1,0,1,2.82E+07,32,0,0,0,0,0,0,r,r,u,u,r,r,rruurr,,,,
