cell	state
020601	0000000000
020602	0000000000
020603	0000000000
020604	0211011221
020605	0000000000
020606	0212110211
020607	0212110211
020608	0210111211
020609	0210111211
020610	0211011221
020611	0210011221
020612	0000000000
020613	0000000000
020614	0000000000
020615	0000000000
020616	0000000000
020617	0000000000
020618	0000111111
020619	0000111111
020620	0000111111
020621	0000111111
020622	0000111121
020623	0000111121
020624	0000211121
020625	0000211121
020626	0000111121
020627	0200111121
020628	2211211111
020629	1211211111
020630	1212211210
020631	1212211221
020632	0212111221
020633	0212111221
020634	2212111221
020635	0000000000
