060301	1111101011
060302	1111111111
060303	1111111211
060304	1111111211
060305	0000000000
060306	1111111121
060307	2111111111
060308	1111111111
060309	1111111111
060310	1111111111
060311	0000000000
060312	1111111101
060313	0000000000
060314	1111111111
060315	0000000000
060316	1111111111
060317	1111110111
060318	1111111111
060319	1111111111
060320	1111111111
060321	1111111111
060322	1111111111
060323	1111111111
060324	1111111111
060325	1111111111
060326	0000000000
060327	0000000000
060328	1111111111
