"Position"	"file.name"	"file.extension"	"n.cells"	"eliminate"	"generations"	"newick"
109	"s20_c1_data"	".txt"	11	""	3	"((100_1:13,100_2:13):43,((((216_1:5,216_2:5):35,(216_3:5,216_4:5):35):37,((216_5:1,216_6:1):36,216_7:38):40):32,((216_8:25,216_9:25):42,(216_10:30,216_11:30):37):43):60);"
110	"s20_c2_data"	".txt"	21	""	3	"((((216_1:54,216_2:54):54,((216_3:3,216_4:3):52,216_5:56):52):46,(((216_6:8,216_7:8):51,(216_8:6,216_9:6):53):48,((216_10:12,216_11:12):47,(216_12:14,216_13:14):45):48):46):42,(((216_14:35,216_15:35):49,(216_16:38,216_17:38):46):56,((216_18:36,216_19:36):52,(216_20:40,216_21:40):48):52):56);"
111	"s20_c3_data"	".txt"	8	""	3	"((99_1:20,99_2:20):43,(((216_1:14,216_2:14):69,(216_3:22,216_4:22):61):52,((216_5:31,216_6:31):54,(216_7:33,216_8:33):52):50):43);"
112	"s20_c4_data"	".txt"	11	""	3	"((((216_1:36,216_2:36):66,(216_3:22,216_4:22):80):52,(((216_5:16,216_6:16):48,(216_7:18,216_8:18):46):44,((213_9:3,213_10:3):53,(216_9:11,216_10:11):48):49):45):43,((179_7:62,(189_8:18,192_8:21):53):49,((216_11:38,215_12:37):53,(215_13:34,215_14:34):56):56):50);"
113	"s20_c5_data"	".txt"	14	""	3	"((((193_1:57,186_2:50):60,(216_1:79,212_2:75):61):47,(((216_2:38,216_3:38):50,(210_5:24,216_4:30):58):54,(216_5:85,216_6:85):58):44):25,(((216_7:89,215_8:88):53,((216_8:34,216_9:34):51,216_10:86):56):42,((183_15:57,187_15:61):54,((216_11:24,216_12:24):60,(216_13:23,216_14:23):61):59):40):28);"
114	"s20_c6_data"	".txt"	21	""	3	"(((((216_1:14,216_2:14):44,(216_3:5,216_4:5):53):64,(216_5:72,(216_6:8,216_7:8):63):51):43,((216_8:49,216_9:49):61,(216_10:58,216_11:58):52):56):45,((154_6:62,(195_9:60,(216_12:39,216_13:39):41):42):44,(((216_14:21,216_15:21):50,(216_16:25,216_17:25):46):53,((216_18:31,216_19:31):49,(216_20:36,216_21:36):44):44):42):44);"
115	"s20_c7_data"	".txt"	6	""	3	"(((216_1:47,(216_2:0,216_3:0):46):116,((205_3:35,203_4:33):57,166_3:54):59):49,(((216_4:38,216_5:38):59,216_6:98):61,(165_6:37,165_7:37):71):53);"
116	"s21_c1_data"	".txt"	14	""	3	"((((216_1:34,216_2:34):60,(216_3:43,216_4:43):51):58,((216_5:38,216_6:38):46,(216_7:31,216_8:31):53):68):43,(((216_9:38,216_10:38):45,(216_11:31,216_12:31):52):71,((216_13:14,216_14:14):53,207_15:59):87):41);"
117	"s21_c2_data"	".txt"	3	""	3	"(((216_1:81,204_2:69):80,((216_2:29,216_3:29):70,188_5:72):61):52,(119_4:73,(110_4:10,110_5:10):53):44);"
118	"s21_c3_data"	".txt"	16	""	3	"((((216_1:21,216_2:21):60,(216_3:22,216_4:22):59):57,((216_5:25,216_6:25):59,(216_7:32,216_8:32):52):54):48,(((216_9:29,216_10:29):67,(216_11:24,216_12:24):72):51,((216_13:36,216_14:36):60,(216_15:36,216_16:36):60):51):39);"
119	"s21_c4_data"	".txt"	32	""	3	"(((((216_1:16,216_2:16):43,(216_3:17,216_4:17):42):46,((216_5:22,216_6:22):39,(216_7:20,216_8:20):41):44):48,(((216_9:16,216_10:16):40,(216_11:14,216_12:14):42):49,((216_13:8,216_14:8):44,(216_15:10,216_16:10):42):53):48):45,((((216_17:14,216_18:14):40,(216_19:13,216_20:13):41):47,((216_21:5,216_22:5):48,(216_23:0,216_24:0):53):48):51,(((216_25:21,216_26:21):42,(216_27:15,216_28:15):48):45,((216_29:22,216_30:22):43,(216_31:18,216_32:18):47):43):44):46);"
120	"s21_c5_data"	".txt"	22	""	3	"((((216_1:44,216_2:44):53,162_2:44):48,((216_3:50,216_4:50):52,(206_5:42,(216_5:6,216_6:6):45):50):43):50,((((216_7:24,216_8:24):40,(216_9:25,216_10:25):39):46,((216_11:27,216_12:27):44,(216_13:26,216_14:26):45):39):45,(((216_15:9,216_16:9):48,(216_17:12,216_18:12):45):46,((216_19:6,216_20:6):47,(216_21:13,216_22:13):40):50):52):39);"
