position	cell	state
108	1	rurxuxxurx
108	2	rurxuxxuru
108	3	rurxuxxuru
108	4	rurxwxxuru
108	5	ruuxuxxuru
108	6	ruuxuxxuru
108	7	ruuxuxxuru
108	8	ruuxuxxuru
108	9	ruxruxxuru
108	10	ruxruxxuru
108	11	ruxruxxuru
108	12	ruxruxxuru
108	13	ruxrxxxurw
108	14	ruxruxxuru
108	15	ruxrxxxuru
108	16	ruxrwxxuru
108	17	uuruuuurru
108	18	wuurrxurxx
108	19	ruruuurruu
108	20	ruruuurruu
108	21	ruruuurruu
108	22	uuruuurrwu
108	23	ruruuuwruu
108	24	uuruuurrru
108	25	xxxxxxxxxx
108	26	uurxuurrrw
108	27	xxxxxxxxxx
