Position,file.name,file.extension,n.cells,groups,generations,newick
110,results_110,.txt,,4,3,"(((((216_5:4,216_6:4):54,(216_7:1,216_8:1):57):49,(216_9:58,216_10:58):50):64,(133_7:11,133_8:11):79):40,(((216_1:35,216_2:35):71,(216_3:28,216_4:28):78):70,((184_4:41,184_5:41):52,(200_5:56,208_5:64):53):51):36);"
112,results_112,.txt,,4,3,"(((((216_1:13,216_2:13):61,(216_3:5,216_4:5):69):50,((216_5:4,216_6:4):67,(216_7:16,216_8:16):55):53):52,(122_3:26,119_4:23):58):35,((126_3:46,127_3:47):44,(106_7:24,106_8:24):46):33);"
113,results_113,.txt,,4,3,"(((((216_1:2,216_2:2):49,(216_3:2,216_4:2):49):42,((216_5:2,216_6:2):45,(216_7:0,216_8:0):47):46):47,((216_9:49,216_10:49):42,((216_11:13,216_12:13):40,(216_13:15,216_14:15):38):37):50):52,((((216_15:6,216_16:6):38,216_17:45):44,((216_18:4,216_19:4):47,216_20:52):37):53,(((216_21:3,216_22:3):47,(216_23:5,216_24:5):45):39,(216_25:51,(216_26:11,216_27:11):39):39):52):51);"
114,results_114,.txt,,4,3,"(((((216_1:15,216_2:15):53,(216_3:16,216_4:16):52):50,(189_3:37,176_4:24):55):52,((216_5:57,(216_6:4,216_7:4):52):54,(216_8:57,(216_9:0,216_10:0):56):54):60):41,((((216_11:4,216_12:4):55,216_13:60):51,(216_14:51,216_15:51):60):53,((216_16:48,216_17:48):61,(216_18:40,216_19:40):69):55):48);"
115,results_115,.txt,,4,3,"((((216_1:38,216_2:38):70,139_2:32):55,((216_3:65,215_4:64):55,148_3:53):43):47,((((216_4:13,216_5:13):49,(216_6:4,216_7:4):58):48,((216_8:0,216_9:0):57,216_10:58):53):57,(((216_11:9,216_12:9):60,(216_13:10,216_14:10):59):50,(216_15:54,216_16:54):66):48):42);"
117,results_117,.txt,,4,3,"(((((216_1:16,216_2:16):64,(216_3:31,216_4:31):49):58,((216_5:35,216_6:35):52,(216_7:35,216_8:35):52):51):47,(((216_9:32,216_10:32):51,(216_11:27,216_12:27):56):56,((216_13:32,216_14:32):49,(216_15:33,216_16:33):48):58):46):26,(((216_17:68,216_18:68):69,((216_19:20,216_20:20):61,204_21:70):55):45,((167_13:35,166_14:34):55,((216_21:16,216_22:16):60,181_16:42):62):43):30);"
119,results_119,.txt,,5,3,"(((108_1:12,108_2:12):47,(((216_1:12,216_2:12):63,(216_3:9,216_4:9):66):53,118_2:32):37):36,((132_2:38,131_3:37):41,(147_2:53,(176_2:37,157_3:18):44):41):40);"
120,results_120,.txt,,4,3,"((((216_1:69,216_2:69):39,(216_3:56,216_4:56):52):48,(((216_5:6,216_6:6):52,216_7:59):49,(193_7:35,199_7:41):50):48):44,(124_5:70,(138_5:22,138_6:22):61):40);"
121,results_121,.txt,,4,3,"((109_1:43,((216_1:41,216_2:41):53,(216_3:34,216_4:34):60):54):44,(117_2:48,(174_3:39,216_5:81):65):47);"
123,results_123,.txt,,4,3,"(((169_1:39,168_2:38):48,(((216_1:13,216_2:13):41,(216_3:11,216_4:11):43):37,((216_5:5,216_6:5):45,(216_7:0,216_8:0):50):41):41):49,((((216_9:7,216_10:7):42,(216_11:7,216_12:7):42):39,((216_13:14,216_14:14):38,(216_15:11,216_16:11):41):36):46,((216_17:47,(216_18:0,216_19:0):46):39,((216_20:2,216_21:2):44,(216_22:1,216_23:1):45):39):49):47);"
