050701	0000000000
050702	0000000000
050703	0112211221
050704	2222212000
050705	0000000000
050706	0000000000
050707	0000000000
050708	0000000000
050709	0000000000
050710	2111212121
050711	2111212121
050712	2111212121
050713	2111212121
050714	0000000000
050715	0000000000
050716	0000000000
050717	2121212221
050718	0000000000
050719	0000000000
050720	2110211201
050721	2110211201
050722	2110211201
050723	2110211201
050724	2212212221
050725	2212212221
050726	2112212221
050727	2112212221
050728	0000000000
050729	0000000000
050730	0000000000
050731	0000000000
050732	0012211000
050733	0012211000
050734	0012211000
050735	0012211000
050736	0012211000
050737	0012211000
050738	0012211000
050739	0012211000
050740	0112210000
050741	0112210000
050742	0112211221
050743	0112211221
050744	0112211221
050745	0112211221
050746	0112212221
050747	0112212221
