080501	0000000000
080502	0000000000
080503	0110211021
080504	0000000000
080505	2110111101
080506	2110111101
080507	2110111101
080508	2111111111
080509	2111011121
080510	2111011121
080511	0000000000
080512	0000000000
080513	0000000000
080514	0000000000
080515	0000000000
080516	0000000000
080517	0000000000
080518	1110111211
080519	1110111211
080520	2110111121
080521	1110112121
080522	2112111111
080523	1112011211
080524	2112011201
080525	2112011201
080526	2110111121
080527	2110111121
080528	0000000000
080529	0000000000
080530	0110011221
080531	0110011221
080532	0110111221
080533	0110111221
080534	2112011101
080535	2112012101
