050301	0122212021
050302	0122212021
050303	0122212021
050304	0022212021
050305	0122211021
050306	0122211021
050307	0122211011
050308	0122211011
050309	0111211021
050310	0111001001
050311	0000000000
050312	2110111001
050313	2111211221
050314	2111111221
050315	2111111221
050316	2111111221
050317	2112111111
050318	0012111111
050319	0000000000
050320	0000000000
050321	0000000000
050322	0000000000
050323	2110000000
050324	1011211101
050325	1112211101
050326	1111211221
050327	1111011221
050328	0111111221
050329	1111111221
050330	0000000000
050331	0101111121
050332	0000000000
050333	1112212121
050334	0000000000
050335	0000000000
