070301	0112112221
070302	0112111221
070303	0110112221
070304	0110112221
070305	0112111221
070306	0112111221
070307	2112111121
070308	0112111121
070309	0111111121
070310	0111111121
070311	0111111101
070312	0111111121
070313	0111111121
070314	0111111121
070315	0111111121
070316	0111111121
070317	1111111111
070318	0000000000
070319	1111111111
070320	0000000000
070321	1111111111
070322	1111111111
070323	1111111111
070324	0000000000
070325	0000000000
070326	2111111111
070327	0000000000
070328	2111111111
070329	0000000000
070330	0000000000
070331	1111111111
070332	1111111111
070333	2111111121
070334	2111111121
