Position,file.name,file.extension,FISH,n.cells,eliminate,generations,newick
1,results_001,.txt,1,19,,4,"(((130_3:36,130_4:36):51,(((216_8:41,216_9:41):41,(216_10:44,216_11:44):38):47,((216_12:34,216_13:34):48,(216_14:21,216_15:21):61):47):42):40,((((216_1:12,216_2:12):65,216_3:78):56,((216_4:25,216_5:25):49,(216_6:18,216_7:18):56):59):43,(96_3:12,101_3:17):46):35);"
13,results_013,.txt,1,25,8,5,"((((216_1:74,(216_2:8,216_3:8):65):54,134_2:47):47,(((216_4:45,216_5:45):42,172_5:44):48,((216_6:28,216_7:28):52,216_8:81):55):39):37,((((216_9:15,216_10:15):59,(216_11:11,216_12:11):63):56,((216_13:7,216_14:7):64,(216_15:4,216_16:4):67):59):43,(((216_17:26,216_18:26):47,182_12:40):59,((216_19:35,216_20:35):41,(216_21:26,216_22:26):50):56):41):38);"
14,results_014,.txt,1,12,,4,"(((127_1:15,127_2:15):61,((216_1:32,216_2:32):73,216_3:106):59):48,(((216_4:16,216_5:16):74,(214_6:24,216_6:26):64):60,(159_5:38,(216_7:44,216_8:44):50):56):62);"
19,results_019,.txt,1,17,,5,"(((((216_1:37,216_2:37):44,(216_3:39,216_4:39):42):44,(((216_5:3,216_6:3):44,214_7:46):34,(211_7:41,216_7:46):36):43):40,(153_5:63,153_6:63):41):46,((158_5:49,(216_8:59,192_10:35):47):58,((216_9:14,216_10:14):68,216_11:83):82):48);"
21,results_021,.txt,1,13,,4,"((((216_1:14,216_2:14):59,(216_3:1,216_4:1):72):58,((216_5:15,216_6:15):58,(216_7:10,216_8:10):63):58):49,((192_5:42,216_9:66):65,((216_10:14,216_11:14):58,216_12:73):58):50);"
30,results_030,.txt,1,10,,4,"((84_1:45,106_1:67):37,((137_1:49,136_2:48):39,(((216_1:3,216_2:3):77,(216_3:18,216_4:18):62):48,(216_5:17,216_6:17):112):37):46);"
37,results_037,.txt,1,,,4,"(((155_1:29,154_2:28):48,(((216_1:3,216_2:3):46,216_3:50):45,(216_4:47,216_5:47):48):42):39,(((216_6:46,216_7:46):41,(216_8:46,216_9:46):41):46,(156_5:22,174_9:40):52):43);"
38,results_038,.txt,1,9,,3,"(122_1:98,(((216_1:41,216_2:41):47,(216_3:44,216_4:44):44):51,((216_5:42,216_6:42):49,(216_7:36,216_8:36):55):48):50);"
40,results_040,.txt,1,28,,4,"(((((216_3:40,216_4:40):41,(216_1:40,216_2:40):41):52,(210_5:76,211_5:77):52):51,(((216_5:45,216_6:45):36,(216_7:34,216_8:34):47):51,(((216_9:0,216_10:0):38,216_11:39):50,((216_12:10,216_13:10):39,(216_14:11,216_15:11):38):39):43):52):27,(((192_15:60,171_12:39):51,((216_16:16,216_17:16):59,(216_18:17,216_19:17):58):59):48,((178_17:49,170_15:41):50,(189_18:53,(156_16:0,157_16:1):19):57):46):29);"
47,results_047,.txt,1,16,,4,"((((216_1:32,216_2:32):60,(216_3:24,216_4:24):68):65,((216_5:41,216_6:41):51,(216_7:30,216_8:30):62):65):47,(((216_9:39,216_10:39):61,(216_11:51,216_12:51):49):59,((216_13:32,216_14:32):66,(216_15:33,216_16:33):65):61):45);"
52,results_052,.txt,1,24,,5,"(((116_1:34,116_2:34):44,(((216_1:29,216_2:29):49,(216_3:12,216_4:12):66):48,((216_5:33,216_6:33):43,(216_7:28,216_8:28):48):50):50):35,(((208_9:56,192_9:40):54,((216_9:9,216_10:9):56,(216_11:8,216_12:8):57):52):51,(((216_13:27,216_14:27):49,(216_15:29,216_16:29):47):49,((216_17:31,216_18:31):50,(216_19:35,207_20:26):46):44):43):43);"
53,results_053,.txt,1,16,,4,"((((216_1:21,216_2:21):54,(216_3:24,216_4:24):51):50,((216_5:28,216_6:28):50,(216_7:38,216_8:38):40):47):46,(((216_9:16,216_10:16):54,(216_11:11,216_12:11):59):56,((216_13:32,216_14:32):45,(216_15:37,216_16:37):40):49):45);"
56,results_056,.txt,1,18,,4,"(((((216_1:32,216_2:32):59,(216_3:27,216_4:27):64):57,(193_5:73,186_5:66):53):48,((135_5:4,135_6:4):59,((216_5:13,216_6:13):81,(216_7:40,216_8:40):54):49):53):15,((97_5:44,((216_9:4,216_10:4):100,130_9:19):57):44,(77_7:25,75_8:23):43):6);"
58,results_058,.txt,0,41,,5,"(((((216_1:48,216_2:48):46,(216_3:48,216_4:48):46):48,((216_5:43,216_6:43):46,(216_7:34,216_8:34):55):53):44,((((216_9:3,216_10:3):48,(216_11:4,216_12:4):47):36,(216_13:36,216_14:36):52):52,(((216_15:5,216_16:5):43,(216_17:2,216_18:2):46):41,((216_19:1,216_20:1):44,216_21:46):44):50):46):25,(((((216_22:14,216_23:14):54,(216_24:15,216_25:15):53):40,((216_26:10,216_27:10):57,187_20:39):41):63,(((216_28:14,216_29:14):34,216_30:49):55,(216_31:51,216_32:51):53):68):35,((151_15:45,((216_33:15,216_34:15):48,216_35:64):45):59,((216_36:42,216_37:42):64,(192_28:36,173_27:17):46):62):39):4);"
62,results_062,.txt,0,14,,4,"(((192_1:66,201_1:75):63,(174_3:48,172_4:46):63):58,(((216_1:37,216_2:37):55,(208_3:34,216_3:42):50):62,((216_4:48,(216_5:1,216_6:1):46):45,(216_7:49,(216_8:0,216_9:0):48):44):61):56);"
64,results_064,.txt,1,17,,4,"((97_1:75,((188_1:55,216_1:83):53,(204_2:65,(216_2:4,214_3:2):72):59):56):20,(((216_3:56,216_4:56):72,(209_5:70,216_5:77):51):61,(((216_6:11,216_7:11):71,216_8:83):57,((214_10:8,215_9:9):72,(216_10:13,216_11:13):69):57):49):23);"
70,results_070,.txt,1,10,,3,"(((133_1:20,140_1:27):61,96_2:45):42,(105_2:47,((216_1:62,(216_2:13,216_3:13):48):48,(216_4:59,(216_5:0,216_6:0):58):51):46):49);"
71,results_071,.txt,1,13,,4,"(55_1:54,((((216_1:2,216_2:2):51,(216_3:4,216_4:4):49):52,((216_5:12,216_6:12):44,(216_7:6,216_8:6):50):49):53,((216_9:44,216_10:44):58,(216_11:48,216_12:48):54):57):53);"
74,results_074,.txt,1,14,,4,"((((216_1:46,216_2:46):47,(214_3:39,216_3:41):52):45,((216_4:38,216_5:38):54,(216_6:33,216_7:33):59):46):45,((161_5:44,160_6:43):46,((178_8:8,176_8:6):51,(216_8:46,216_9:46):51):47):39);"
78,results_078,.txt,1,13,,4,"(((216_1:78,(216_2:13,216_3:13):64):53,((216_4:34,216_5:34):48,(216_6:38,216_7:38):44):48):60,((164_5:38,164_6:38):51,((216_8:36,216_9:36):45,(216_10:31,216_11:31):50):59):50);"
