position	cell	state
040	1	rurrxurrru
040	2	rurrxuxrru
040	3	rurrxurrru
040	4	rurrxurrru
040	5	ruuxruuxru
040	6	ruurruuxru
040	7	ruuxrurxru
040	8	ruuxrurxru
040	9	rurxxxxxxu
040	10	rurxxxxxxu
040	11	rurxxxxxxu
040	12	rurxxxxxxu
040	13	rurxxxxxxu
040	14	rrrxrxxxxu
040	15	rrrxrxxxxu
040	16	xxxxxxxxxu
040	17	xxxxxxxxxu
040	18	rxxrxuuxxu
040	19	ruurxuuxxu
