position	cell	state
008	1	xxxxxxxxxx
009	2	xuxxxxxxxx
008	3	ruuuuuuuuu
008	4	xxxxxxxxxx
008	5	xxxxxxxxxx
008	6	rurrruuuur
008	7	xxxxxxxxxx
008	8	xrurruxxxu
008	9	xrurruxxxu
008	10	xuurruxwuu
008	11	xuurruuxxu
008	12	xxxxxxxxxx
008	13	xuuuuuuuxu
008	14	uuurrurrxu
008	15	xuurruuxxx
008	16	xrrxxxxxxx
008	17	xxxxxxxxxx
